"lambda","phi","eta","start","end","type"
1,0.5,0,19883,20514,"death"
1,0.5,0,33663,34117,"death"
1,0.5,0,39953,40326,"death"
1,0.5,0,48444,48857,"conserved"
1,0.5,0,63675,63798,"conserved"
1,0.5,0,66512,66699,"death"
1,0.5,0,83272,83397,"death"
1,0.5,0,88638,88835,"conserved"
1.5,0.1,0.1,39953,40326,"conserved"
1.5,0.1,0.1,48444,48857,"conserved"
1.5,0.1,0.1,63675,63798,"conserved"
1.5,0.1,0.1,66512,66699,"death"
1.5,0.1,0.1,88638,88835,"conserved"
1.5,0.1,0.2,39953,40326,"conserved"
1.5,0.1,0.2,48444,48857,"conserved"
1.5,0.1,0.2,63675,63798,"conserved"
1.5,0.1,0.2,66512,66699,"death"
1.5,0.1,0.2,88638,88835,"conserved"
1.5,0.1,0.3,19883,20514,"death"
1.5,0.1,0.3,39953,40326,"death"
1.5,0.1,0.3,48444,48857,"conserved"
1.5,0.1,0.3,63675,63798,"conserved"
1.5,0.1,0.3,66512,66699,"death"
1.5,0.1,0.3,83272,83397,"conserved"
1.5,0.1,0.3,88638,88835,"conserved"
1.5,0.1,0.4,19883,20514,"death"
1.5,0.1,0.4,39953,40326,"death"
1.5,0.1,0.4,48444,48857,"conserved"
1.5,0.1,0.4,63675,63798,"conserved"
1.5,0.1,0.4,66512,66699,"death"
1.5,0.1,0.4,83272,83397,"conserved"
1.5,0.1,0.4,88638,88835,"conserved"
1.5,0.1,0.5,19883,20514,"death"
1.5,0.1,0.5,39953,40326,"death"
1.5,0.1,0.5,48444,48857,"conserved"
1.5,0.1,0.5,63675,63798,"conserved"
1.5,0.1,0.5,66512,66699,"death"
1.5,0.1,0.5,83272,83397,"conserved"
1.5,0.1,0.5,88638,88835,"conserved"
1.5,0.1,0.6,19883,20514,"death"
1.5,0.1,0.6,33663,34117,"death"
1.5,0.1,0.6,39953,40326,"death"
1.5,0.1,0.6,48444,48857,"conserved"
1.5,0.1,0.6,63675,63798,"conserved"
1.5,0.1,0.6,66512,66699,"death"
1.5,0.1,0.6,83272,83397,"conserved"
1.5,0.1,0.6,88638,88835,"conserved"
1.5,0.2,0.1,39953,40326,"death"
1.5,0.2,0.1,48444,48857,"conserved"
1.5,0.2,0.1,63675,63798,"conserved"
1.5,0.2,0.1,66512,66699,"death"
1.5,0.2,0.1,83272,83397,"conserved"
1.5,0.2,0.1,88638,88835,"conserved"
1.5,0.2,0.2,39953,40326,"death"
1.5,0.2,0.2,48444,48857,"conserved"
1.5,0.2,0.2,63675,63798,"conserved"
1.5,0.2,0.2,66512,66699,"death"
1.5,0.2,0.2,83272,83397,"conserved"
1.5,0.2,0.2,88638,88835,"conserved"
1.5,0.2,0.3,19883,20514,"death"
1.5,0.2,0.3,39953,40326,"death"
1.5,0.2,0.3,48444,48857,"conserved"
1.5,0.2,0.3,63675,63798,"conserved"
1.5,0.2,0.3,66512,66699,"death"
1.5,0.2,0.3,83272,83397,"conserved"
1.5,0.2,0.3,88638,88835,"conserved"
1.5,0.2,0.4,39953,40326,"death"
1.5,0.2,0.4,48444,48857,"conserved"
1.5,0.2,0.4,63675,63798,"conserved"
1.5,0.2,0.4,66512,66699,"death"
1.5,0.2,0.4,88638,88835,"conserved"
1.5,0.2,0.5,19883,20514,"death"
1.5,0.2,0.5,33663,34117,"death"
1.5,0.2,0.5,39953,40326,"death"
1.5,0.2,0.5,48444,48857,"conserved"
1.5,0.2,0.5,63675,63798,"conserved"
1.5,0.2,0.5,66512,66699,"death"
1.5,0.2,0.5,83272,83397,"conserved"
1.5,0.2,0.5,88638,88835,"conserved"
1.5,0.3,0.1,39953,40326,"death"
1.5,0.3,0.1,48444,48857,"conserved"
1.5,0.3,0.1,63675,63798,"conserved"
1.5,0.3,0.1,66512,66699,"death"
1.5,0.3,0.1,83272,83397,"conserved"
1.5,0.3,0.1,88638,88835,"conserved"
1.5,0.3,0.2,19883,20514,"death"
1.5,0.3,0.2,39953,40326,"death"
1.5,0.3,0.2,48444,48857,"conserved"
1.5,0.3,0.2,63675,63798,"conserved"
1.5,0.3,0.2,66512,66699,"death"
1.5,0.3,0.2,83272,83397,"conserved"
1.5,0.3,0.2,88638,88835,"conserved"
1.5,0.3,0.3,19883,20514,"death"
1.5,0.3,0.3,39953,40326,"death"
1.5,0.3,0.3,48444,48857,"conserved"
1.5,0.3,0.3,63675,63798,"conserved"
1.5,0.3,0.3,66512,66699,"death"
1.5,0.3,0.3,88638,88835,"conserved"
1.5,0.3,0.4,19883,20514,"death"
1.5,0.3,0.4,33663,34117,"death"
1.5,0.3,0.4,39953,40326,"death"
1.5,0.3,0.4,48444,48857,"conserved"
1.5,0.3,0.4,63675,63798,"conserved"
1.5,0.3,0.4,66512,66699,"death"
1.5,0.3,0.4,83272,83397,"conserved"
1.5,0.3,0.4,88638,88835,"conserved"
1.5,0.4,0.1,19883,20514,"death"
1.5,0.4,0.1,39953,40326,"death"
1.5,0.4,0.1,48444,48857,"conserved"
1.5,0.4,0.1,63675,63798,"conserved"
1.5,0.4,0.1,66512,66699,"death"
1.5,0.4,0.1,88638,88835,"conserved"
1.5,0.4,0.2,19883,20514,"death"
1.5,0.4,0.2,33663,34117,"death"
1.5,0.4,0.2,39953,40326,"death"
1.5,0.4,0.2,48444,48857,"conserved"
1.5,0.4,0.2,63675,63798,"conserved"
1.5,0.4,0.2,66512,66699,"death"
1.5,0.4,0.2,83272,83397,"conserved"
1.5,0.4,0.2,88638,88835,"conserved"
1.5,0.4,0.3,19883,20514,"death"
1.5,0.4,0.3,33663,34117,"death"
1.5,0.4,0.3,39953,40326,"death"
1.5,0.4,0.3,48444,48857,"conserved"
1.5,0.4,0.3,63675,63798,"conserved"
1.5,0.4,0.3,66512,66699,"death"
1.5,0.4,0.3,83272,83397,"conserved"
1.5,0.4,0.3,88638,88835,"conserved"
1.5,0.5,0.1,39953,40326,"death"
1.5,0.5,0.1,48444,48857,"conserved"
1.5,0.5,0.1,63675,63798,"conserved"
1.5,0.5,0.1,66512,66699,"death"
1.5,0.5,0.1,88638,88835,"conserved"
1.5,0.5,0.2,39953,40326,"death"
1.5,0.5,0.2,48444,48857,"conserved"
1.5,0.5,0.2,63675,63798,"conserved"
1.5,0.5,0.2,66512,66699,"death"
1.5,0.5,0.2,83272,83397,"conserved"
1.5,0.5,0.2,88638,88835,"conserved"
1.5,0.6,0.1,19883,20514,"death"
